[sim@MRT-host udp-record-playback]$ ./main 
18:03:01.190624: Recording traffic on 229.7.7.0:4000, from .1-.250
18:03:13.934934: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:14.809975: Got message from 192.168.2.128 (229.7.7.3) bytes 50
18:03:14.810203: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:14.810339: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:14.810478: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:14.935787: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:14.937536: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:14.937940: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:15.842385: Got message from 192.168.2.128 (229.7.7.1) bytes 58
18:03:15.952497: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:15.953000: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:15.953187: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:16.804231: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:16.804439: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:16.804552: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:16.938826: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:16.939406: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:16.939536: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:17.614445: Got message from 192.168.2.130 (229.7.7.57) bytes 88
18:03:17.708849: Got message from 192.168.2.130 (229.7.7.1) bytes 130
18:03:17.841021: Got message from 192.168.2.128 (229.7.7.1) bytes 58
18:03:17.953748: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:17.954122: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:17.954238: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:18.811704: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:18.812207: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:18.812411: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:18.855738: Got message from 192.168.2.130 (229.7.7.45) bytes 65
18:03:18.976028: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:18.976224: Got message from 192.168.2.130 (229.7.7.5) bytes 135
